20,4,243,2,25,"aho_corasick@173-197@C++/aho_corasick.cpp","C++/aho_corasick.cpp","aho_corasick","aho_corasick( std :: vector<MultiPatternData> const & pat_data , std :: string const & sequence)",173,197
5,1,34,1,6,"main@202-207@C++/aho_corasick.cpp","C++/aho_corasick.cpp","main","main( int argc , char * argv [ ])",202,207
10,2,81,1,13,"read_header@18-30@C++/input.cpp","C++/input.cpp","read_header","read_header( std :: ifstream & input)",18,30
20,4,159,1,24,"read_sequences@43-66@C++/input.cpp","C++/input.cpp","read_sequences","read_sequences( std :: string fname)",43,66
3,1,15,1,3,"read_patterns@72-74@C++/input.cpp","C++/input.cpp","read_patterns","read_patterns( std :: string fname)",72,74
34,7,292,2,42,"read_answers@83-124@C++/input.cpp","C++/input.cpp","read_answers","read_answers( std :: string fname , int * k)",83,124
25,5,226,5,51,"create_dfa@29-79@C++/dfa_gap.cpp","C++/dfa_gap.cpp","create_dfa","create_dfa( std :: string const & pattern , int m , int k , std :: vector<std::vector<int>> & dfa , int & terminal)",29,79
12,1,91,2,16,"init_dfa_gap@86-101@C++/dfa_gap.cpp","C++/dfa_gap.cpp","init_dfa_gap","init_dfa_gap( std :: string const & pattern , int k)",86,101
18,5,181,2,25,"dfa_gap@107-131@C++/dfa_gap.cpp","C++/dfa_gap.cpp","dfa_gap","dfa_gap( std :: vector<MultiPatternData> const & pat_data , std :: string const & sequence)",107,131
4,1,34,1,5,"main@138-142@C++/dfa_gap.cpp","C++/dfa_gap.cpp","main","main( int argc , char * argv [ ])",138,142
11,2,82,3,13,"calc_s_positions@31-43@C++/shift_or.cpp","C++/shift_or.cpp","calc_s_positions","calc_s_positions( std :: string const & pat , int m , std :: vector<WORD_TYPE> & s_positions)",31,43
15,2,110,1,21,"init_shift_or@45-65@C++/shift_or.cpp","C++/shift_or.cpp","init_shift_or","init_shift_or( std :: string const & pattern)",45,65
15,3,128,2,22,"shift_or@71-92@C++/shift_or.cpp","C++/shift_or.cpp","shift_or","shift_or( std :: vector<PatternData> const & pat_data , std :: string const & sequence)",71,92
4,1,34,1,5,"main@99-103@C++/shift_or.cpp","C++/shift_or.cpp","main","main( int argc , char * argv [ ])",99,103
5,1,30,0,5,"get_time@28-32@C++/run.cpp","C++/run.cpp","get_time","get_time()",28,32
42,9,385,4,57,"run@43-99@C++/run.cpp","C++/run.cpp","run","run( initializer init , algorithm code , std :: string name , int argc , char * argv [ ])",43,99
44,9,390,4,60,"run_multi@105-164@C++/run.cpp","C++/run.cpp","run_multi","run_multi( mp_initializer init , mp_algorithm code , std :: string name , int argc , char * argv [ ])",105,164
49,10,439,4,65,"run_approx@166-230@C++/run.cpp","C++/run.cpp","run_approx","run_approx( am_initializer init , am_algorithm code , std :: string name , int argc , char * argv [ ])",166,230
16,5,110,3,18,"make_next_table@16-33@C++/kmp.cpp","C++/kmp.cpp","make_next_table","make_next_table( std :: string const & pat , int m , std :: vector<int> & next_table)",16,33
11,1,86,1,15,"init_kmp@35-49@C++/kmp.cpp","C++/kmp.cpp","init_kmp","init_kmp( std :: string const & pattern)",35,49
20,5,157,2,28,"kmp@55-82@C++/kmp.cpp","C++/kmp.cpp","kmp","kmp( std :: vector<PatternData> const & pat_data , std :: string const & sequence)",55,82
4,1,34,1,5,"main@89-93@C++/kmp.cpp","C++/kmp.cpp","main","main( int argc , char * argv [ ])",89,93
20,6,142,3,38,"create_dfa@11-48@Python/dfa_gap.py","Python/dfa_gap.py","create_dfa","create_dfa( pattern , m , k )",11,48
4,1,33,2,5,"init_dfa_gap@51-55@Python/dfa_gap.py","Python/dfa_gap.py","init_dfa_gap","init_dfa_gap( pattern , k )",51,55
14,5,95,2,19,"dfa_gap@58-76@Python/dfa_gap.py","Python/dfa_gap.py","dfa_gap","dfa_gap( pat_data , sequence )",58,76
8,2,51,2,10,"init_regexp@10-19@Python/regexp.py","Python/regexp.py","init_regexp","init_regexp( pattern , k )",10,19
4,1,31,2,6,"regexp@22-27@Python/regexp.py","Python/regexp.py","regexp","regexp( pat_data , sequence )",22,27
2,1,15,1,2,"add_goto_state@15-16@Python/aho_corasick.py","Python/aho_corasick.py","add_goto_state","add_goto_state( goto_fn )",15,16
